Hafta,Kilo,Kilo Analizi,Su Tüketimi (L),Yağ Oranı (%)
1. HAFTA,71.25,BAŞLANGIÇ,4.0,12.0
2. HAFTA,,,,
3. HAFTA,,,,
4. HAFTA,,,,
5. HAFTA,,,,
6. HAFTA,,,,
7. HAFTA,,,,
8. HAFTA,,,,
9. HAFTA,,,,
10. HAFTA,,,,
11. HAFTA,,,,
12. HAFTA,,,,
13. HAFTA,,,,
14. HAFTA,,,,
15. HAFTA,,,,
16. HAFTA,,,,
17. HAFTA,,,,
18. HAFTA,,,,
19. HAFTA,,,,
20. HAFTA,,,,
21. HAFTA,,,,
22. HAFTA,,,,
23. HAFTA,,,,
24. HAFTA,,,,
25. HAFTA,,,,
26. HAFTA,,,,
27. HAFTA,,,,
28. HAFTA,,,,
29. HAFTA,,,,
30. HAFTA,,,,
31. HAFTA,,,,
32. HAFTA,,,,
33. HAFTA,,,,
34. HAFTA,,,,
35. HAFTA,,,,
36. HAFTA,,,,
37. HAFTA,,,,
38. HAFTA,,,,
39. HAFTA,,,,
40. HAFTA,,,,
41. HAFTA,,,,
42. HAFTA,,,,
43. HAFTA,,,,
44. HAFTA,,,,
45. HAFTA,,,,
46. HAFTA,,,,
47. HAFTA,,,,
48. HAFTA,,,,
49. HAFTA,,,,
50. HAFTA,,,,
