TarihSaat,Hafta,Gun,Hareket,Set,KiloKg,Tekrar,Not
26.05.2026 17:47:55,1. Hafta,Pazartesi,Bench press,1,100.0,2,
26.05.2026 17:48:37,1. Hafta,Pazartesi,Bench press,2,90.0,5,
26.05.2026 17:49:17,1. Hafta,Pazartesi,İncline Dumbell Press,1,30.0,5,
26.05.2026 17:49:25,1. Hafta,Pazartesi,İncline Dumbell press,1,30.0,0,
26.05.2026 17:56:53,1. Hafta,Pazartesi,Pec Deck,1,84.0,7,gayet iyiydi
26.05.2026 17:57:17,1. Hafta,Pazartesi,Pec Deck,2,77.0,7,7 tekrar çıktı 8 i denedim fakat çıkaramadım
26.05.2026 18:01:04,1. Hafta,Pazartesi,Duz Bar Pushdown,1,60.0,7,
26.05.2026 18:01:25,1. Hafta,Pazartesi,Duz Bar Pushdown,2,55.0,7,
26.05.2026 18:01:40,1. Hafta,Pazartesi,Overhead Cable V Bar Extension,1,40.0,6,
26.05.2026 18:01:49,1. Hafta,Pazartesi,Overhead Cable V Bar Extension,1,45.0,9,
26.05.2026 18:02:43,1. Hafta,Salı,Barfiks,1,10.0,6,
26.05.2026 18:03:06,1. Hafta,Salı,Barfiks,2,7.5,7,"7,5 plaka"
26.05.2026 18:03:54,1. Hafta,Salı,Barfiks,3,0.0,9,"vucut ağırlığı ile yaptım fakat  patlayıcıydı 9,5 tekrar çıktı"
26.05.2026 18:04:24,1. Hafta,Salı,Lat Machine,1,50.0,4,Barfiks yordu
26.05.2026 18:04:46,1. Hafta,Salı,Lat Machine,2,50.0,6,5-6 tekrar çıktı
26.05.2026 18:05:25,1. Hafta,Salı,Chest Supported Single Arm Machine Row,1,45.0,7,
26.05.2026 18:05:40,1. Hafta,Salı,Chest Supported Single Arm Machine Row,2,45.0,6,
26.05.2026 18:06:27,1. Hafta,Salı,Incline Dumbbell Curl,1,15.0,0,"15 kg yapıyorum ardından drop set 12,5kg"
26.05.2026 18:06:48,1. Hafta,Salı,Incline Dumbbell Curl,2,15.0,0,"15 kg ile yapıyorum ardından 12,5kg drop set"
26.05.2026 18:07:58,1. Hafta,Salı,Preacher Curl,1,35.0,6,full negatif 5-6 tekrar
26.05.2026 18:08:18,1. Hafta,Salı,Preacher Curl,2,35.0,5,full negatif 5-6 tekrar
