Hafta,Gün,Sabah KG,Su,Not
1. Hafta,Pazartesi,71.25,4.5,100 kg bench press 2 tekrar atıldı
1. Hafta,Salı,,,
1. Hafta,Çarşamba,,,
1. Hafta,Perşembe,,,
1. Hafta,Cuma,,,
1. Hafta,Cumartesi,,,
1. Hafta,Pazar,,,
2. Hafta,Pazartesi,,,
2. Hafta,Salı,,,
2. Hafta,Çarşamba,,,
2. Hafta,Perşembe,,,
2. Hafta,Cuma,,,
2. Hafta,Cumartesi,,,
2. Hafta,Pazar,,,
3. Hafta,Pazartesi,,,
3. Hafta,Salı,,,
3. Hafta,Çarşamba,,,
3. Hafta,Perşembe,,,
3. Hafta,Cuma,,,
3. Hafta,Cumartesi,,,
3. Hafta,Pazar,,,
4. Hafta,Pazartesi,,,
4. Hafta,Salı,,,
4. Hafta,Çarşamba,,,
4. Hafta,Perşembe,,,
4. Hafta,Cuma,,,
4. Hafta,Cumartesi,,,
4. Hafta,Pazar,,,
5. Hafta,Pazartesi,,,
5. Hafta,Salı,,,
5. Hafta,Çarşamba,,,
5. Hafta,Perşembe,,,
5. Hafta,Cuma,,,
5. Hafta,Cumartesi,,,
5. Hafta,Pazar,,,
6. Hafta,Pazartesi,,,
6. Hafta,Salı,,,
6. Hafta,Çarşamba,,,
6. Hafta,Perşembe,,,
6. Hafta,Cuma,,,
6. Hafta,Cumartesi,,,
6. Hafta,Pazar,,,
7. Hafta,Pazartesi,,,
7. Hafta,Salı,,,
7. Hafta,Çarşamba,,,
7. Hafta,Perşembe,,,
7. Hafta,Cuma,,,
7. Hafta,Cumartesi,,,
7. Hafta,Pazar,,,
8. Hafta,Pazartesi,,,
8. Hafta,Salı,,,
8. Hafta,Çarşamba,,,
8. Hafta,Perşembe,,,
8. Hafta,Cuma,,,
8. Hafta,Cumartesi,,,
8. Hafta,Pazar,,,
9. Hafta,Pazartesi,,,
9. Hafta,Salı,,,
9. Hafta,Çarşamba,,,
9. Hafta,Perşembe,,,
9. Hafta,Cuma,,,
9. Hafta,Cumartesi,,,
9. Hafta,Pazar,,,
10. Hafta,Pazartesi,,,
10. Hafta,Salı,,,
10. Hafta,Çarşamba,,,
10. Hafta,Perşembe,,,
10. Hafta,Cuma,,,
10. Hafta,Cumartesi,,,
10. Hafta,Pazar,,,
11. Hafta,Pazartesi,,,
11. Hafta,Salı,,,
11. Hafta,Çarşamba,,,
11. Hafta,Perşembe,,,
11. Hafta,Cuma,,,
11. Hafta,Cumartesi,,,
11. Hafta,Pazar,,,
12. Hafta,Pazartesi,,,
12. Hafta,Salı,,,
12. Hafta,Çarşamba,,,
12. Hafta,Perşembe,,,
12. Hafta,Cuma,,,
12. Hafta,Cumartesi,,,
12. Hafta,Pazar,,,
13. Hafta,Pazartesi,,,
13. Hafta,Salı,,,
13. Hafta,Çarşamba,,,
13. Hafta,Perşembe,,,
13. Hafta,Cuma,,,
13. Hafta,Cumartesi,,,
13. Hafta,Pazar,,,
14. Hafta,Pazartesi,,,
14. Hafta,Salı,,,
14. Hafta,Çarşamba,,,
14. Hafta,Perşembe,,,
14. Hafta,Cuma,,,
14. Hafta,Cumartesi,,,
14. Hafta,Pazar,,,
15. Hafta,Pazartesi,,,
15. Hafta,Salı,,,
15. Hafta,Çarşamba,,,
15. Hafta,Perşembe,,,
15. Hafta,Cuma,,,
15. Hafta,Cumartesi,,,
15. Hafta,Pazar,,,
16. Hafta,Pazartesi,,,
16. Hafta,Salı,,,
16. Hafta,Çarşamba,,,
16. Hafta,Perşembe,,,
16. Hafta,Cuma,,,
16. Hafta,Cumartesi,,,
16. Hafta,Pazar,,,
17. Hafta,Pazartesi,,,
17. Hafta,Salı,,,
17. Hafta,Çarşamba,,,
17. Hafta,Perşembe,,,
17. Hafta,Cuma,,,
17. Hafta,Cumartesi,,,
17. Hafta,Pazar,,,
18. Hafta,Pazartesi,,,
18. Hafta,Salı,,,
18. Hafta,Çarşamba,,,
18. Hafta,Perşembe,,,
18. Hafta,Cuma,,,
18. Hafta,Cumartesi,,,
18. Hafta,Pazar,,,
19. Hafta,Pazartesi,,,
19. Hafta,Salı,,,
19. Hafta,Çarşamba,,,
19. Hafta,Perşembe,,,
19. Hafta,Cuma,,,
19. Hafta,Cumartesi,,,
19. Hafta,Pazar,,,
20. Hafta,Pazartesi,,,
20. Hafta,Salı,,,
